test_id,kind,status,message,time_s
ANISO.Thm3.6.W4_Sym,exact,PASS,Pass: h_aniso invariant under all 384 W4 actions.,0.0017
ANISO.h_aniso.Harmonicity,exact,PASS,Pass: Laplacian vanishes at c = 3/2 in d=4.,0.0
KP.Lem6.2.AnimalBound,bound,PASS,"Pass: q=5.39e-02, bound=0.06, margin=2.92.",0.0001
MG.Prop6.1.Telescoping,toy-model,PASS,"Pass: telescoping identity holds, abs_error < 1e-15.",0.0179
OS1.LemB.Discretization_Oeta2,numerical,PASS,"Pass: slope = 1.778 in [1.7, 2.3].",0.0015
P86.Prop4.1.CouplingControl_worstcase,bound,PASS,Pass: worst-case flow keeps g_k <= g_0.,0.0021
P86.Thm6.3.UVSuppression_geometric,bound,PASS,"Pass: sum=9.127135e-04, ratio=1.0009 < 2.",0.0
P87.Thm3.6.OneDimAniso_symbolic,exact,PASS,"Pass: 1D aniso quotient confirmed, W4-invariant.",0.0116
P87.Thm5.4.AnisotropyScaling_from_samples,numerical,PASS,Pass: scaling consistent with O(a^2).,0.0005
P87.Thm5.4.CauchyBound_perPolymer,exact,PASS,"Pass: all Cauchy ratios <= 1, max=0.16666667.",0.0001
P88.Lem4.4.LieAlgAnnihilation_SO4,numerical,PASS,Pass: max_violation=0.000601 < 0.01.,0.1415
P88.Thm4.2.VanishingRate_eta2log,numerical,PASS,"Pass: min_rate=1.84e-15 < 1e-10, confirmed vanishing.",0.0003
P89.Lem6.1.ExpInequality,exact,PASS,"Pass: 0 violations in 10001 points, max_ratio=0.999500.",0.0027
P89.Thm1.1.TerminalKP_geometric_series,bound,PASS,"Pass: delta=0.021020 < 1, q=8.8872e-02.",0.0
P90.Lem6.2.KPMargin_explicit,bound,PASS,"Pass: margin=2.2617, at -10%: 1.4117 > 0.",0.0
P90.Lem6.4.Superpoly_from_c_over_g2,bound,PASS,"Pass: super-poly decay verified. g_0(4)=0.9900, g_0(100)=0.0595.",0.0053
P90.Lem8.1.TriangularMixingLock_d4_exact,exact,PASS,Pass: unique W4-invariant scalar at d=4 (symbolic).,3.241
